zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,providerListingID,newConstructionType,unit,videoCount,openHouse,open_house_info
2086645885,5111 Woodlane Alcove,55129,Woodbury,MN,,,315000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,1454,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,315000,TRUE,FALSE,FALSE,USD,USA,,1.59,acres,1.65E+12,,20000,,,,,,
2249059,6821 Romeo Rd,55125,Woodbury,MN,44.899498,-92.967575,339700,2,2,1928,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,339700,TRUE,FALSE,FALSE,USD,USA,229900,5227.2,sqft,,,,,,,,,
2243039,2272 Cascade Plz N,55125,Woodbury,MN,44.915543,-92.950836,350000,2,4,2006,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,350000,TRUE,FALSE,FALSE,USD,USA,267200,7405.2,sqft,1.67E+12,"$24,900 (Oct 20)",-24900,,,,,,
2216841,413 Meadow Ct,55125,Woodbury,MN,44.941654,-92.97569,359900,1,3,1118,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,359900,TRUE,FALSE,FALSE,USD,USA,238400,0.37,acres,1.67E+12,"$9,100 (Nov 13)",-9100,,,,,,
2061355557,11271 Crestbury Dr,55129,Saint Paul,MN,44.931637,-92.87718,372990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_newHome': True},FALSE,FALSE,FOR_SALE,372990,TRUE,TRUE,FALSE,USD,USA,,0.06,sqft,1.67E+12,"$7,000 (Nov 7)",-7000,28977951,BUILDER_SPEC,,,,
2061355561,11267 Crestbury Dr,55129,Saint Paul,MN,44.934208,-92.87677,384990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_newHome': True},FALSE,FALSE,FOR_SALE,384990,TRUE,TRUE,FALSE,USD,USA,,2613.6,sqft,1.67E+12,"$23,000 (Nov 7)",-23000,28977951,BUILDER_SPEC,,,,
2218696,6317 Birchwood Rd,55125,Woodbury,MN,44.93199,-92.97751,385000,3,4,2004,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,385000,TRUE,FALSE,FALSE,USD,USA,275100,9583.2,sqft,1.67E+12,"$5,000 (Nov 17)",-5000,,,,,,
2061355558,11269 Crestbury Dr,55129,Saint Paul,MN,44.931637,-92.87718,389990,3,3,1993,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_newHome': True},FALSE,FALSE,FOR_SALE,389990,TRUE,TRUE,FALSE,USD,USA,,0.06,sqft,1.67E+12,,4000,28977951,BUILDER_SPEC,,,,
2060972288,4810 Airlake Dr,55129,Saint Paul,MN,44.877213,-92.896164,389990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_newHome': True},FALSE,FALSE,FOR_SALE,389990,TRUE,TRUE,FALSE,USD,USA,,0.04,sqft,1.67E+12,"$5,000 (Nov 25)",-5000,29811767,BUILDER_SPEC,,,,
2061017127,4808 Airlake Dr,55129,Saint Paul,MN,44.879654,-92.89551,397990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_newHome': True},FALSE,FALSE,FOR_SALE,397990,TRUE,TRUE,FALSE,USD,USA,,,,1.67E+12,"$2,000 (Nov 10)",-2000,29811767,BUILDER_SPEC,,,,
