zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info
1827634,9600 Portland Ave S APT 202,55420,Bloomington,MN,44.82885,-93.269356,185000,2,2,1334,CONDO,FOR_SALE,-1,FALSE,FALSE,184900,1749,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,185000,TRUE,FALSE,FALSE,USD,USA,185200,6.33,acres,1.66729E+12,"$10,000 (Nov 1)",-10000,Apt 202,,
1979847,10754 Cavell Rd,55438,Bloomington,MN,44.808395,-93.39385,245000,2,2,1372,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,244900,1895,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,245000,TRUE,FALSE,FALSE,USD,USA,204200,4356,sqft,,,,,,
1966828,4733 W 110th St,55437,Bloomington,MN,44.804394,-93.341156,399000,3,4,2240,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,398900,2295,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399000,TRUE,FALSE,FALSE,USD,USA,298600,0.38,acres,,,,,,
82581165,8161 33rd Ave S UNIT 108,55425,Bloomington,MN,44.855972,-93.22481,400000,2,2,1110,CONDO,FOR_SALE,-1,FALSE,FALSE,399800,1762,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,400000,TRUE,FALSE,FALSE,USD,USA,325100,2.9,acres,,,,Unit 108,,
1758276,2410 W 88th St,55431,Bloomington,MN,44.84471,-93.31074,319900,1,3,1781,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,319700,2099,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,319900,TRUE,FALSE,FALSE,USD,USA,322300,0.37,acres,1.66685E+12,"$20,100 (Oct 27)",-20100,,,
2002381,5500 107th St W,55437,Bloomington,MN,44.80899,-93.35308,350000,2,5,2023,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,349700,2295,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,350000,TRUE,FALSE,FALSE,USD,USA,281200,0.28,acres,1.66677E+12,"$15,000 (Oct 26)",-15000,,,
1979747,10381 Yukon Ave S,55438,Bloomington,MN,44.815086,-93.389694,469900,3,3,3271,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,469500,2449,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,469900,TRUE,FALSE,FALSE,USD,USA,382200,0.31,acres,1.66703E+12,"$20,000 (Oct 29)",-20000,,,
1992404,6808 W 106th St,55438,Bloomington,MN,44.81201,-93.37173,400000,2,2,1570,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,399600,2197,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,400000,TRUE,FALSE,FALSE,USD,USA,245100,0.75,acres,,,,,,
1966969,11037 Stanley Curv,55437,Bloomington,MN,44.802654,-93.347466,415000,3,2,2231,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,414500,1895,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,415000,TRUE,FALSE,FALSE,USD,USA,356000,0.34,acres,,,,,,
82640206,8341 Lyndale Ave S APT 404,55420,Bloomington,MN,44.852077,-93.28717,158000,2,2,1395,CONDO,FOR_SALE,-1,FALSE,FALSE,156800,1121,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,158000,TRUE,FALSE,FALSE,USD,USA,234100,3.78,acres,1.66902E+12,"$27,000 (Nov 21)",-27000,Apt 404,,
